"","ID","EARNINGS","S","EXP","BYEAR","AGE","AGEMBTH","HHINC97","POVRAT97","PRMONM","PRMONF","ASVABAR","ASVABWK","ASVABPC","ASVABMK","ASVABNO","ASVABCS","ASVABC","ASVABC4","VERBAL","ASVABMV","HEIGHT","WEIGHT04","WEIGHT11","SF","SM","SFR","SMR","SIBLINGS","JOBS","HOURS","TENURE","CATSE","COLLBARG","SEX","ETHNICITY","EDUCATION","MARITALSTAT","FAITH","METSTAT97","AREA97","CENREG97","HOUSE97","MATSTYLE","PATSTYLE","CATEMP","METSTAT11","CENREG11","AREA11"
"304",3099,26.15,17,6.75,1982,29,24,108200,680,13,13,0.441583,0.3776289,0.4401917,0.0125764,-0.2793829,1.528963,0.4669619,0.3553105,0.4357329,69261,67,150,152,18,14,18,14,1,6,50,4.826923,"No","No","Female","Non-black, non-hispanic","Master's degree","Married, spouse present","Protestant","MSA, not central city","Urban","North central","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, central city","West","Urban"
"1995",3779,9.33,12,9.115385,1984,27,22,NA,NA,12,4,-1.275087,-0.42038,-0.182751,-1.111399,-1.134009,-0.6897772,-0.8669286,-0.837216,-0.322028,25700,64,158,150,12,8,NA,8,1,1,37,6.634615,"No","No","Female","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, central city","Urban","South","Biological mother only","Authoritative","Authoritative","Private sector","MSA, not central city","West","Urban"
"965",1680,25.64,16,6.942307,1982,29,28,246474,1627,12,10,1.517817,0.8989666,0.7104225,1.306997,1.767377,1.386212,1.275941,1.240198,0.8578582,89719,66,145,170,16,17,16,17,1,10,45,3.384615,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","MSA, not central city","Urban","South","Biological mother and father","Authoritative","Permissive","Private sector","MSA, central city","South","Urban"
"1931",5158,24.85,16,6.192307,1982,29,19,11614,73,10,NA,0.0196143,-0.8187159,0.410166,0.9656344,0.0361628,1.659248,-0.1019294,0.1607493,-0.2182623,50888,64,144,150,13,13,NA,13,2,8,36,4.307693,"No","No","Female","Non-black, non-hispanic","Associate's degree","Married, spouse present","Protestant","Not in MSA","Urban","North central","Biological mother only","Permissive",NA,"Private sector","MSA, central city","North central","Urban"
"171",1449,39,12,10.94231,1980,31,31,133500,1627,NA,NA,-0.3140538,-0.0503257,-0.2214166,0.496556,-0.1628766,-1.189219,-0.2477112,-0.025601,-0.145306,41118,69,155,140,16,17,16,17,1,11,40,4.019231,"No","Yes","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Catholic","MSA, not central city","Urban","South","Biological mother and father","Authoritative","Authoritarian","Private sector","MSA, not central city","West","Urban"
"703",4256,19.93,16,4.25,1984,27,27,NA,NA,15,15,1.307873,1.514716,1.369686,2.083837,0.6141866,1.492326,1.510918,1.755621,1.537793,96532,72,170,170,16,18,16,18,0,7,35,0.6923077,"Yes","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","MSA, not central city","Rural","South","Biological mother and father","Permissive","Authoritative","Private sector","MSA, not central city","West","Urban"
"244",4285,14,13,5.173077,1981,30,21,75000,471,NA,NA,-0.8715928,-1.604125,-1.014607,-1.307933,-0.397879,-0.8215506,-1.199038,-1.34333,-1.396902,11482,67,185,190,14,12,14,12,1,7,40,0.8076923,"No","No","Male","Hispanic","High school diploma","Cohabiting","Catholic","MSA, central city","Urban","South","Biological mother and father",NA,NA,"Private sector","MSA, central city","West","Urban"
"950",1908,55,12,10.48077,1981,30,22,NA,NA,NA,NA,1.463088,0.6508309,0.5878728,0.4200808,1.08291,1.809067,1.144005,0.8729675,0.6601802,69209,66,172,130,12,13,NA,13,3,4,10,7.192307,"Yes","No","Female","Non-black, non-hispanic","High school diploma","Married, spouse present","None","MSA, not central city","Urban","North central","Biological mother only",NA,NA,"Private sector","MSA, not central city","North central","Rural"
"1298",2654,4.38,17,5.846154,1983,28,23,44300,237,15,14,0.2427122,-0.9791626,-0.1007165,0.1175701,0.2114554,-0.2060415,-0.1637929,-0.2019943,-0.5762669,37460,74,170,210,12,12,12,12,2,6,40,0.1346154,"Yes","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, central city","Urban","North central","Biological mother and father","Authoritative","Authoritative","Missing value","Not in MSA","North central","Urban"
"517",5986,11.5,15,7.75,1981,30,18,39000,166,NA,NA,-0.0276553,-1.274021,-1.056865,-0.4471066,1.174738,1.186633,-0.656138,-0.7857357,-1.2434,24651,66,145,150,8,12,8,12,4,10,40,0.75,"No","No","Male","Black","High school diploma","Single, never married","Protestant","MSA, not central city","Rural","South","Biological mother and father",NA,NA,"Private sector","MSA, not central city","West","Urban"
"206",2564,20.98,17,3.461539,1984,27,34,147100,925,5,6,0.7399204,0.7213268,0.3588225,-0.2579929,-0.312502,1.410665,0.7030038,0.4364885,0.5756268,74898,72,145,180,16,16,16,16,1,3,55,3.673077,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Catholic","MSA, not central city","Rural","North central","Biological mother and father","Authoritarian","Authoritarian","Private sector","MSA, central city","South","Urban"
"1775",1500,28.75,18,3.442308,1982,29,22,71000,328,7,8,-1.557441,-0.413484,0.2922876,-0.0107465,0.6570325,0.9775934,-0.8896734,-0.4733706,-0.0650233,38089,64,150,190,12,13,12,13,2,6,40,3.826923,"No","Yes","Female","Black","Master's degree","Married, spouse present","Protestant","MSA, not central city","Urban","South","Biological mother and father","Authoritative","Authoritative","Government","MSA, not central city","West","Urban"
"600",4066,15.65,11,11.78846,1982,29,20,26000,111,9,12,-1.142931,-1.51535,-1.691629,-2.020755,-2.041427,-0.3582866,-1.5098,-1.783338,-1.710601,2659,72,195,200,12,12,12,12,5,NA,40,6.230769,"No","No","Male","Non-black, non-hispanic","GED","Married, spouse present","Protestant","MSA, central city","Urban","South","Biological mother and father","Uninvolved","Authoritarian","Private sector","MSA, central city","West","Urban"
"249",4737,18.45,12,9.326923,1982,29,29,80095,417,7,4,0.3233039,-0.9029495,-1.297959,-0.193089,-0.9844971,0.4573919,-0.427545,-0.5800729,-1.174086,25471,77,190,220,12,12,14,12,4,10,40,1.192308,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Catholic","MSA, not central city","Urban","West","Biological mother, other father","Uninvolved","Authoritarian","Private sector","MSA, not central city","South","Urban"
"827",6141,12,18,5.615385,1980,31,22,29000,155,NA,NA,-0.9629906,-0.84713,-0.8074726,-0.4299988,-3.068567,-2.323439,-0.9843388,-0.8534392,-0.8827537,13673,67,150,180,15,13,15,13,2,7,40,2.576923,"No","No","Female","Black","Associate's degree","Married, spouse present","Protestant","Not in MSA","Urban","South","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, central city","West","Urban"
"1754",2002,14.35,11,6.461538,1983,28,19,15000,94,16,14,-0.2069616,-0.2324431,-0.0406653,-0.3139034,1.63784,-0.1920157,-0.1892317,-0.2228071,-0.1460345,42665,65,187,245,9,10,9,10,1,3,40,5.019231,"No","No","Female","Non-black, non-hispanic","GED","Cohabiting","Protestant","MSA, central city","Urban","South","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, central city","West","Urban"
"9",1239,20.19,14,6.846154,1983,28,25,246474,1627,10,6,1.863456,1.694685,2.235723,1.08865,0.8657922,0.5588324,2.103678,1.925311,2.095604,98479,71,175,180,16,20,16,20,1,6,40,3.884615,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, not central city","Urban","North central","Biological mother and father","Uninvolved","Uninvolved","Private sector","MSA, central city","South","Urban"
"1852",5179,14,18,4.615385,1983,28,25,66000,305,14,14,0.1777119,-0.8038656,0.3196424,0.5119389,0.8156742,-0.1147179,-0.0358374,0.0568562,-0.2586172,46275,62,115,125,12,12,12,12,3,6,36,3.423077,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Catholic","MSA, not central city","Rural","North central","Biological mother and father","Authoritative","Authoritative","Private sector","Not in MSA","North central","Rural"
"58",4051,18.5,12,10.15385,1981,30,NA,48068,257,NA,NA,-0.2194592,-1.285404,-0.837789,0.082959,0.3400428,-0.0364172,-0.704477,-0.6329607,-1.132642,27025,71,200,220,12,12,12,12,1,10,40,5.596154,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","MSA, central city","Urban","South","Other mother, biological father",NA,NA,"Private sector","MSA, central city","West","Urban"
"93",800,31.54,18,5.076923,1982,29,22,137017,732,8,3,1.233307,0.658787,-0.012417,0.8352383,2.841123,2.17041,0.8549588,0.7590884,0.3443022,73102,70,148,150,16,12,16,12,2,4,50,7.076923,"No","No","Male","Non-black, non-hispanic","Master's degree","Married, spouse present","Catholic","MSA, not central city","Urban","North central","Biological mother and father","Permissive","Authoritarian","Private sector","MSA, not central city","North central","Rural"
"268",2734,26.4,16,5.346154,1983,28,32,NA,NA,10,10,1.426569,0.8967425,1.600736,1.866787,2.118248,1.422822,1.469828,1.619826,1.331456,94333,67,132,138,18,16,18,16,5,13,23,3.538461,"No","Yes","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological mother and father","Authoritative","Authoritative","Government","MSA, central city","North central","Urban"
"926",6336,32.05,16,6.576923,1982,29,29,41200,326,NA,12,1.178963,0.9399451,0.5647424,1.432092,1.816836,1.147461,1.060946,1.151083,0.8020233,89348,63,150,140,14,10,14,NA,1,4,45,6.173077,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Cohabiting","Protestant","MSA, not central city","Urban","West","Biological father only",NA,"Permissive","Private sector","MSA, central city","South","Urban"
"1689",1336,28.46,16,5.673077,1984,27,33,246474,1627,6,4,0.9658228,1.101516,-0.3117501,1.512426,0.7660244,1.020748,0.7473602,0.9138628,0.4207722,79563,69,155,165,18,16,18,16,2,3,50,5.25,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, central city","Urban","South","Biological mother and father","Permissive","Uninvolved","Private sector","MSA, central city","West","Urban"
"159",222,16,15,4.807693,1981,30,NA,35000,220,NA,NA,0.2728376,0.6144056,-0.3462582,0.7964274,0.0945634,1.14175,0.2231818,0.3736205,0.1426048,62197,65,140,150,12,9,12,9,1,4,40,5.442307,"No","No","Male","Hispanic","Associate's degree","Single, never married","Catholic","MSA, not central city","Urban","North east","Biological mother and father",NA,NA,"Private sector","MSA, not central city","North east","Urban"
"270",1824,14.96,16,6.653846,1982,29,26,74400,468,10,9,0.1240409,0.8101798,1.458839,-0.168706,-1.413962,0.6958305,0.6912185,0.6218141,1.209624,76073,64,145,180,18,16,18,16,1,3,45,4,"No","Yes","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Urban","North central","Biological mother and father","Permissive","Authoritative","Government","MSA, central city","North central","Urban"
"804",2785,12.75,12,10.76923,1983,28,38,79000,422,NA,7,-0.3891754,0.6212758,-0.2675256,-0.6171009,-0.9044945,0.7265186,-0.1171194,-0.1832258,0.1882548,36595,67,150,172,18,15,18,15,1,3,40,3.230769,"No","No","Female","Non-black, non-hispanic","High school diploma","Cohabiting","Protestant","MSA, not central city","Urban","North central","Other mother, biological father",NA,"Uninvolved","Private sector","MSA, central city","North central","Urban"
"78",2911,11.5,8,5.442307,1980,31,19,50025,313,NA,NA,0.8325077,-1.231873,-0.741861,-0.7257754,-0.7979245,-0.3517229,-0.0852765,-0.5230735,-1.052939,28553,65,155,165,12,12,12,NA,2,NA,40,0.4807692,"No","No","Male","Non-black, non-hispanic","High school drop-out","Married, spouse present","Protestant","MSA, not central city","Urban","North central","Biological father only",NA,"Uninvolved","Private sector","MSA, not central city","North central","Urban"
"1032",5542,7.5,18,2,1984,27,27,66730,419,10,NA,1.057463,0.9842722,0.9559991,0.4374532,0.7198631,0.7402316,1.113865,0.9606426,1.03431,88631,72,154,153,16,12,16,12,1,5,24,0.3461539,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","Not in MSA","Urban","North central","Biological mother and father","Permissive",NA,"Private sector","MSA, not central city","North central","Rural"
"1627",6576,20,10,6.326923,1984,27,20,23652,219,11,NA,-1.413612,-1.958212,-1.214743,-1.512128,-1.352615,-0.9210472,-1.649209,-1.707232,-1.692456,6877,71,195,240,11,11,NA,11,5,11,25,0.6346154,"No","No","Male","Black","GED","Married, spouse present","Protestant","MSA, central city","Urban","West","Biological mother only","Authoritative",NA,"Private sector","MSA, central city","South","Urban"
"778",6493,23,16,2.75,1983,28,24,63000,336,NA,NA,-0.1281089,-0.0070613,-0.5388685,0.8342189,0.0378559,-0.4101949,-0.2208639,0.0441945,-0.2915239,48758,74,145,155,15,16,15,16,2,9,15,0.9807692,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Cohabiting","Protestant","Not in MSA","Urban","West","Biological mother and father",NA,NA,"Private sector","MSA, central city","South","Urban"
"3",8763,39.05,14,9.942307,1981,30,23,88252,555,NA,NA,0.4177562,0.9479251,0.059644,0.2939251,0.0612613,-0.0672739,0.5060075,0.4804706,0.5369214,66480,72,168,190,16,6,NA,6,1,3,65,4.980769,"No","No","Male","Non-black, non-hispanic","High school diploma","Cohabiting","Catholic","MSA, not central city","Urban","West","Biological mother only",NA,NA,"Private sector","MSA, central city","South","Urban"
"102",3269,15,9,9.596154,1983,28,25,20250,108,NA,NA,-2.549101,-2.82661,-1.805506,-1.431282,-1.823764,-1.027019,-2.674199,-2.410672,-2.470593,892,72,200,200,10,10,NA,10,2,2,50,8.461538,"No","No","Male","Non-black, non-hispanic","High school drop-out","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological mother only",NA,NA,"Private sector","MSA, not central city","North central","Rural"
"439",2510,9,13,8.653846,1983,28,26,12210,65,10,NA,1.005666,0.2183205,1.011344,0.6359743,0.7428052,0.7966477,0.8901347,0.802851,0.6553599,76595,67,215,235,11,13,NA,13,8,5,39,3.442308,"No","No","Female","Non-black, non-hispanic","High school diploma","Single, never married","Catholic","MSA, not central city","Urban","North east","Biological mother only","Uninvolved",NA,"Missing value","MSA, not central city","North east","Urban"
"587",6075,41,15,4.461538,1984,27,22,NA,NA,9,8,0.117623,-0.0356373,0.3755034,0.2678322,0.4809782,-0.6265052,0.1575875,0.2023385,0.1808507,53412,72,230,260,14,12,14,12,2,4,40,3.826923,"No","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Protestant","MSA, not central city","Rural","South","Biological mother and father","Permissive","Authoritative","Missing value","MSA, central city","West","Urban"
"481",3639,16,15,6.461538,1983,28,25,NA,NA,10,NA,-0.4797495,-0.5625477,-0.5377564,0.1302916,0.5581599,-0.0660951,-0.5664498,-0.406317,-0.587159,25535,63,230,230,12,12,NA,12,6,8,40,1.557692,"No","No","Female","Black","Associate's degree","Single, never married","Protestant","MSA, central city","Urban","South","Biological mother only","Authoritarian",NA,"Private sector","MSA, not central city","West","Urban"
"103",1809,31.25,18,1.903846,1981,30,26,44500,212,NA,NA,1.206284,0.5586293,1.028249,1.112347,-0.2280713,0.8525072,1.098546,1.092253,0.8458536,92454,70,230,250,16,16,16,16,3,4,40,0.75,"No","No","Male","Non-black, non-hispanic","Master's degree","Married, spouse present","Other","MSA, not central city","Urban","North central","Biological mother and father",NA,NA,"Private sector","MSA, central city","South","Urban"
"947",8840,13.5,17,4.846154,1983,28,25,27610,218,10,NA,0.8490258,0.3924792,0.9824306,0.5437429,-0.310827,1.290668,0.8439611,0.7738531,0.7328158,76191,69,248,250,12,15,NA,15,2,5,40,1.365385,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Catholic","MSA, not central city","Urban","North east","Biological mother only","Permissive",NA,"Private sector","MSA, not central city","North east","Urban"
"848",1829,22,17,6.269231,1983,28,32,NA,NA,12,NA,0.5677134,0.2331183,0.3730213,2.100016,0.3278479,0.5267289,0.4781126,0.9155008,0.3228483,77983,67,145,150,20,20,20,20,1,4,40,2.769231,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","MSA, not central city","Urban","North central","Biological mother and father","Uninvolved",NA,"Non-profit","MSA, not central city","North central","Urban"
"718",1135,25.15,16,4.846154,1984,27,27,110000,587,11,8,0.8954947,0.7588905,1.18842,0.6643214,-0.2948617,-0.8795931,1.026787,0.9807734,1.038064,80559,76,200,185,18,16,18,16,2,4,65,4.846154,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Catholic","MSA, not central city","Rural","North east","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","North east","Urban"
"376",5845,8.55,9,2.788461,1983,28,28,5500,51,NA,NA,-1.288523,-2.165263,-1.007046,-0.917118,-0.6105458,-0.7907618,-1.580286,-1.505545,-1.692112,7615,62,130,136,12,11,NA,11,3,7,20,1.403846,"No","No","Female","Black","GED","Other single","Protestant","Not in MSA","Rural","South","Biological mother only",NA,NA,"Private sector","MSA, not central city","West","Rural"
"194",4077,10.5,13,0.7115384,1983,28,NA,67300,533,4,7,-0.9560627,-2.076476,-1.865557,-1.534114,-0.3241808,-0.9939801,-1.609085,-1.80056,-2.102588,3086,72,200,205,16,16,16,16,2,5,40,3,"No","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Other","MSA, not central city","Rural","South","Biological mother and father","Authoritative","Authoritarian","Private sector","MSA, central city","South","Urban"
"347",2763,10.5,12,8.442307,1984,27,22,23000,145,12,NA,0.2710662,-0.0333607,-0.2883968,-1.320244,-0.8539084,0.7963347,0.0601107,-0.384259,-0.171978,42996,67,240,290,12,12,12,12,1,5,37,0.8269231,"No","No","Female","Non-black, non-hispanic","High school diploma","Single, never married","None","MSA, central city","Urban","North central","Biological mother and father","Permissive",NA,"Private sector","MSA, central city","North central","Urban"
"524",5549,6.25,11,5.480769,1982,29,18,42500,203,8,7,-2.568674,-1.474372,-1.570414,-2.424665,-1.702306,-2.664441,-2.24878,-2.249945,-1.624107,281,67,175,180,11,10,11,10,3,3,40,0.7884616,"No","No","Male","Non-black, non-hispanic","High school diploma","Cohabiting","Protestant","Not in MSA","Rural","North central","Biological mother and father","Uninvolved","Permissive","Private sector","Not in MSA","West","Rural"
"1839",1592,34.62,18,5.884615,1981,30,33,105050,561,NA,NA,0.4071004,1.385029,1.222859,1.391161,2.104559,1.700289,0.9398965,1.232348,1.390335,91740,67,145,168,16,16,16,16,2,10,40,3.826923,"No","Yes","Female","Non-black, non-hispanic","Master's degree","Married, spouse present","None","MSA, central city","Urban","North east","Biological mother and father",NA,NA,"Non-profit","MSA, central city","North east","Urban"
"129",5906,9.5,17,4.538462,1981,30,27,45000,240,NA,NA,0.5157893,-0.2085795,0.5745281,0.0320727,0.417363,0.4111619,0.3835755,0.2550836,0.19476,60467,72,210,250,16,16,16,16,2,7,50,1.057692,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","Not in MSA","Urban","South","Biological mother and father",NA,NA,"Private sector","MSA, central city","West","Urban"
"210",4150,16.5,13,8.480769,1981,30,25,20800,111,NA,NA,0.3783298,0.5017146,1.556478,0.6914743,-0.4052978,1.211568,0.7730362,0.8746812,1.097195,86795,73,188,245,14,12,14,12,2,4,40,1.25,"No","No","Male","Non-black, non-hispanic","GED","Cohabiting","Protestant","MSA, not central city","Rural","South","Biological mother and father",NA,NA,"Private sector","MSA, not central city","South","Rural"
"1170",2092,12.5,18,2.865385,1982,29,27,65500,312,9,8,0.9733064,0.538128,0.4602087,1.599593,0.1266719,0.5882994,0.8087852,0.9987134,0.531998,85820,69,160,186,16,16,16,16,3,10,40,1.942308,"No","No","Male","Non-black, non-hispanic","Master's degree","Single, never married","Catholic","MSA, not central city","Urban","North east","Biological mother and father","Permissive","Permissive","Private sector","MSA, not central city","North east","Urban"
"111",2350,22.81,16,7.442307,1982,29,23,NA,NA,NA,6,1.412324,0.694074,1.133005,2.14026,0.5849879,1.375303,1.277784,1.504767,0.9739476,92661,73,215,235,12,12,12,12,2,4,43,4.346154,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Urban","North east","Biological mother and father",NA,"Authoritarian","Private sector","MSA, not central city","North east","Urban"
"493",296,15,16,6.615385,1981,30,25,45000,283,NA,NA,-0.7661006,-1.810156,-1.51837,-1.417127,-0.6171452,0.0449325,-1.336104,-1.542988,-1.775419,10256,61,110,125,14,11,14,11,3,6,35,1.173077,"No","No","Female","Hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Urban","North east","Biological mother and father",NA,NA,"Private sector","MSA, not central city","North east","Urban"
"525",1377,17,12,9.365385,1984,27,23,35500,223,12,9,-1.665088,-1.37996,-2.008755,-1.677509,-0.3453095,-0.4781434,-1.846701,-1.884258,-1.807516,680,74,182,240,12,12,12,12,0,5,40,4.692307,"No","No","Male","Non-black, non-hispanic","High school diploma","Single, never married","Protestant","MSA, not central city","Urban","South","Biological mother and father","Authoritative","Authoritative","Missing value","MSA, not central city","West","Urban"
"1073",4498,19.8,13,10.92308,1983,28,21,16500,51,11,11,0.2352531,-0.0753588,-0.2230432,0.0889465,-0.0045136,-0.2350282,0.0468467,0.0065901,-0.159523,43345,70,156,240,4,7,4,7,5,2,40,6.865385,"No","No","Male","Hispanic","GED","Married, spouse present","Catholic","MSA, central city","Urban","West","Biological mother and father","Uninvolved","Permissive","Private sector","MSA, not central city","South","Rural"
"604",1020,62,16,8.884615,1981,30,27,96050,584,NA,NA,-0.4155256,-1.583636,-1.394931,-0.9739919,-0.8632841,-0.7127727,-1.047274,-1.222954,-1.588794,14470,75,168,175,12,14,17,14,1,11,50,1.596154,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Catholic","MSA, not central city","Urban","West","Biological mother, other father",NA,NA,"Private sector","MSA, central city","South","Urban"
"1690",2576,14,17,4.038462,1983,28,28,NA,NA,7,7,0.3748438,1.207496,1.170369,0.214042,-0.3850148,0.0289686,0.8589619,0.8295597,1.267669,78656,71,155,165,18,16,18,16,3,6,42,1.211538,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","North central","Urban"
"1325",6469,9.75,14,4.269231,1983,28,26,32112,171,6,2,-1.963034,-0.7924827,-0.402085,-1.687834,-1.193662,-0.7570998,-1.407523,-1.356531,-0.6374276,10913,67,150,140,9,14,12,14,4,7,38,1.711538,"No","No","Female","Hispanic","Associate's degree","Other single","Catholic","Not in MSA","Urban","West","Biological mother, other father","Uninvolved","Uninvolved","Private sector","MSA, not central city","South","Urban"
"1010",6453,22.29,12,7.365385,1983,28,32,36370,288,13,11,1.952964,0.4027238,0.4530897,0.9412921,0.6732336,0.1636164,1.308014,1.048757,0.4559937,81727,73,175,185,12,13,9,13,2,4,48,5.826923,"No","No","Male","Non-black, non-hispanic","High school diploma","Married, spouse present","Protestant","Not in MSA","Rural","West","Biological mother, other father","Authoritative","Authoritative","Private sector","MSA, not central city","South","Urban"
"124",754,21.15,12,13.15385,1980,31,33,86300,525,NA,NA,0.5075065,0.2592897,0.4936385,0.5018566,0.0605112,0.760056,0.48536,0.4925147,0.4011272,64200,68,175,160,7,12,7,12,3,2,50,10.76923,"No","No","Male","Hispanic","High school diploma","Married, spouse present","Catholic","MSA, not central city","Urban","North central","Biological mother and father","Permissive","Permissive","Missing value","MSA, not central city","North central","Urban"
"769",8870,35,16,1.269231,1984,27,27,35000,187,3,3,-0.3895919,0.0303836,-0.6197909,-0.0290045,0.1176227,-0.1798612,-0.3765146,-0.2826994,-0.3147095,45651,66,158,165,9,9,9,9,3,8,15,1,"No","No","Female","Hispanic","Bachelor's degree","Cohabiting","Catholic","MSA, not central city","Urban","North east","Biological mother and father","Authoritarian","Permissive","Private sector","MSA, not central city","West","Rural"
"1513",3128,10.75,20,5.442307,1980,31,23,8044,64,NA,NA,-0.0018396,0.8944566,0.1344428,0.1785166,0.4555202,0.645356,0.2812708,0.3367287,0.5482964,60604,68,180,185,12,14,NA,14,1,2,40,5,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","MSA, not central city","Rural","North central","Biological mother only","Authoritative",NA,"Private sector","MSA, central city","North central","Urban"
"929",666,25.21,19,4.942307,1981,30,36,35000,149,NA,NA,1.302186,0.4391086,0.9871026,1.13885,1.558702,0.9472592,1.107102,1.081546,0.7601736,78135,66,140,125,15,4,15,4,4,6,70,6.788462,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Other","MSA, central city","Urban","North central","Biological mother and father",NA,NA,"Private sector","MSA, central city","North central","Urban"
"436",840,25.58,16,5.769231,1984,27,27,62000,390,12,9,1.110741,0.9592298,0.3410295,0.7024861,2.180045,1.856062,0.9672796,0.870621,0.6930065,77320,67,155,190,12,16,12,16,1,4,50,2.442308,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological mother and father","Authoritative","Permissive","Private sector","MSA, not central city","West","Rural"
"1534",1872,13.75,11,7.730769,1981,30,20,12800,80,NA,NA,-1.47471,-1.015628,-0.9211935,-1.288851,-1.315665,-1.425595,-1.343115,-1.315941,-1.033255,12042,71,155,150,11,13,NA,13,2,NA,44,5.788462,"No","No","Male","Hispanic","GED","Cohabiting","Catholic","MSA, central city","Urban","North central","Biological mother only",NA,NA,"Private sector","Not in MSA","North central","Rural"
"969",8793,11.25,15,6.865385,1980,31,18,32000,136,NA,NA,-0.4643003,-1.277404,-0.7251801,-0.7543989,0.9883538,-0.900911,-0.8058932,-0.9020435,-1.068324,20249,59,100,110,14,11,14,11,6,5,40,4.115385,"No","No","Female","Black","High school diploma","Married, spouse present","Protestant","Not in MSA","Rural","South","Biological mother and father","Permissive","Permissive","Government","MSA, not central city","West","Rural"
"1271",6310,9,17,2.288461,1984,27,37,NA,NA,9,8,0.8272977,-0.4704648,-0.3239827,-0.4859211,-0.1684127,-0.0860442,0.2359113,-0.1274121,-0.4240527,47110,64,130,130,16,14,16,14,5,10,40,0.9807692,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Single, never married","Protestant","MSA, not central city","Rural","West","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","South","Urban"
"1318",3864,11.1,12,11.23077,1981,30,29,40200,244,NA,NA,-2.121515,-1.601849,-0.9022885,-0.6941172,-0.0112779,-1.976653,-1.854471,-1.489265,-1.335791,7497,67,170,195,12,12,12,12,3,5,30,8.038462,"No","No","Female","Black","High school diploma","Single, never married","Protestant","MSA, central city","Urban","South","Biological mother and father",NA,NA,"Private sector","MSA, central city","West","Urban"
"1319",5452,24.23,16,5.826923,1983,28,23,28750,154,8,2,0.4632868,0.614446,0.5465028,0.4981572,0.0596177,0.3864708,0.5731764,0.5932822,0.6187153,74180,68,230,285,12,12,12,12,2,9,40,0.8653846,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","Not in MSA","Urban","North central","Biological mother and father","Permissive","Uninvolved","Private sector","MSA, central city","North central","Urban"
"400",4673,13.75,15,2.519231,1984,27,33,37150,233,14,NA,0.1730331,-0.7436548,0.1619878,1.083073,-0.5067092,0.4905722,-0.0651849,0.1881001,-0.3105818,60777,65,140,135,12,16,NA,16,3,3,35,0.9038461,"No","No","Female","Non-black, non-hispanic","Associate's degree","Other single","Catholic","MSA, not central city","Urban","West","Biological mother only","Authoritative",NA,"Private sector","MSA, central city","South","Urban"
